台湾/Taiwan,#genre#
東森幼幼_線路二,tvbus://4E6wu6TqSpxV3d1HuWAzQ3qmMvZEEYBJW4AxrTgapjbE5Ao7xg
緯來綜合_線路一,tvbus://4YFxKsEbB7bfmTi1FKmvsSFDaU5LSXAUiYmKDcSTGjjLpaBd44
緯來綜合_線路二,tvbus://3JZTbsS5TVCgVm2TYJpTSQx4dUzMF6pWZ6gS9xvpC6jmZGxbze
八大第一,tvbus://3fbZbdzYyjoLJ8QqSLqiFnzDPfDVdct6piQ3vM9HPoPg7FzXic
八大綜合,tvbus://2zjT99SGPMqSFoUPSGwJQKYbe9uGKt5KQqrS3sdXkDFQ3ZmZ3v
三立台灣_線路一,tvbus://3b4cWDUEgxu988QZYDJcsA2qSbv4ANLAozW9yNscnQWXNA7UCg
三立台灣_線路二,tvbus://4CgBsKEszunDxPCSA2PV2kGiZXN1WAtYF8ZmH6emw9rXbp9QBV
三立都會_線路一,tvbus://3K7shs6ko6pw8fGvGaRLhQTaBvjx4RjV2qnXBbiQra6uqGfFFn
三立都會_線路二,tvbus://4Fuk2Xzq81oEpPyHYRT2T6TQkKp2WwUkr9m8bBAq9KucUQQx8s
東森綜合_線路一,tvbus://4ifSJsUKSwmDMM91gCbCvhrWKcP9padTKkod9NRSVgZCSPdMv7
東森綜合_線路二,tvbus://4XwwmKaDt8aj5RUM66oF3zJ6EBixaFdGU4yWZ3YsQz3mKxo8r8
東森超視,tvbus://4psSZrBE1HsTzDjcHoQcAJsMXwTgA3bFHrwabscfgUDw98fo5k
非凡商業,tvbus://3zaGFVx7bbNdYr8koegwnQHTszUXTidChtW5rXpHaeX8RtsazG
中天綜合_線路一,tvbus://3j5oojgfQUU19347LP1KC5L5gAm2iJ8AqnaCzqJBXbdCDgDxfk
東風衛視,tvbus://3DLj3c9ywNfPaZkwKB5ZFSkQ3P83g6KGu8vrGj1s8tvAQGCshx
BOOMERANG,tvbus://4e8M9vgUk3unJicy1qVFmPEnuA1f6rcJVdwXBWszq1X6GcVBJc
中天娛樂_線路一,tvbus://3hL84HGTfHaXknoPeP1z2Ep2X4jVFvB9CcTht6SKP9iSLmyEPT
中天娛樂_線路二,tvbus://48GyD4AWBDLZP8KS5bgM4ngZRtAmp93F8PXBrP6c4f8GShb7uh
東森戲劇,tvbus://3CiXG7ATDRFWvemP8Pcj6jKLZFEHjTxQqGKpEfZb2Aiu4VFFfD
八大戲劇,tvbus://3r7jqW6GrhcbGiYiRE17E1UC4ZfGeD2dZDy8G2qmzrYkTfm8QF
TVBS歡樂,tvbus://2y4jTzbBppqWRLqJEDacmYEDTGRhEMmTKK9gpWEujowt2ifyBr
緯來戲劇_線路一,tvbus://3fNPJkdZLeAQr2k2Y23tuggazp1xxdjgFZJFXFEFxNTGprp7dU
緯來戲劇_線路二,tvbus://3TuvCe33eFHPajXqxNqjH2cRth9AU8i66njqDEbRxn4KoPPh6L
靖天映畫,tvbus://4Q4FLt9hZUAHE7vjZu41x9XqydY3SPX91iFJWutkEz12EvYQBH
三立戲劇_線路一,tvbus://3pBVaCyezcF6nYZgYmWZ2uTfvqCJA1eE1MHdoPBxthmjE5XN5V
三立戲劇_線路二,tvbus://46DY2ybztugE7ahb4MiVSYyxj6BuXnyVaTsg4TjnQhzHjTZ78z
三立綜合_線路一,tvbus://4A28uxm5tZNSENdqpfHFqzRrNBGqnJXDJeniNWFWpnXRg5h6W2
三立綜合_線路二,tvbus://3NURAsQeTh8p258Y5NpetSwJkDn7nvD7xzGArHXqsK4FQZACh2
TVBS_HD,tvbus://3QCyNE2fCr9PafDNZKrWjEhZmMi8UAPmcDAYuu9jLPGPPHdWJH
天映經典,tvbus://3ELZgM3j8MumR4Ty3zkm1qB4UbNLSTsZqvk8RGYHnuioGRWu57
