台灣,#genre##
HBO Family,P2p://starvod.xyz:19806/40eecbffa2294210b6684d119e9625ff
CatchPlay電影台,P2p://starvod.xyz:19806/194c3917a66b4a4286ef7b57856639ad
CinemaWorld,P2p://starvod.xyz:19806/0fa3f4cee8974e8a8f3f0cf8c1490b0b
壹電視電影台,P2p://starvod.xyz:19806/136bca45679a47ef90921c00c3426c55
東森電影台,P2p://starvod.xyz:19806/73615eb613654cbe840a5c79de06e0a0
緯來電影台,P2p://starvod.xyz:19806/055ec57f71d7488987adbe079163b7e1
龍祥電影,P2p://starvod.xyz:19806/372eb2545c364594829fda221ee65581
HBO,P2p://starvod.xyz:19806/53eb4218ff454d978d271b87edbe051d
東森洋片台,P2p://starvod.xyz:19806/57de63d5329b40bf997b2546d88a8190
AXN,P2p://starvod.xyz:19806/34d35eb6eeff47089e64b48d75e7463e
好萊塢電影台,P2p://starvod.xyz:19806/dc3a0a7e3ffb421cae5dfed542e799f3
CINEMAX,P2p://starvod.xyz:19806/6ae621ed53ec4841a8d07b7c5c7c8fab
HBO強檔鉅獻,P2p://starvod.xyz:19806/f830f1af73da43b18542d3579480aaa9
HBO原創鉅獻,P2p://starvod.xyz:19806/4cb6d3c5f05442c8a6e2109580ae124a
愛爾達影劇台,P2p://starvod.xyz:19806/c97659004f8341bbad994e58bb9f1be2
影迷數位電影台,P2p://starvod.xyz:19806/93ee58337ab94c8d907686e48a60c62a

Bloomberg TV,P2p://starvod.xyz:19806/446e0b83d89542debf19a661b854f153
HITS,P2p://starvod.xyz:19806/fc9e24a54ccf47bea65b805327a734d2



CN卡通頻道,P2p://starvod.xyz:19806/4a452bfb37fc40828c3950947f3b6044
Smart知識台,P2p://starvod.xyz:19806/749bf68f1cfd402ab8d14db9ec2a75f6
靖天映畫,P2p://starvod.xyz:19806/2182dcdc31f64d11be57958f121653a4
MOMO親子台,P2p://starvod.xyz:19806/8d7c47deb0184869b6dd62a2c0c3e3b1
MOMO綜合台,P2p://starvod.xyz:19806/0a17dd78faae460099ae6aed2024587e

尼克兒童頻道,P2p://starvod.xyz:19806/e287d12a153d41148f37ce5b874e59ac
八大娛樂台,P2p://starvod.xyz:19806/eb55e52427a340778ceddd7987e2293f

龍華偶像,P2p://starvod.xyz:19806/f15d8401c26743e8b1b91e411d98c9bd
tvN,P2p://starvod.xyz:19806/46903a9bc0104bf6b790241f7f3c2e0b
France24,P2p://starvod.xyz:19806/e6e301acb17f47e18a63d336cf36fe2a



靖洋卡通Nice Bingo,P2p://starvod.xyz:19806/23377ae77adc43c6980b1c6c23f018c9
靖天卡通台,P2p://starvod.xyz:19806/9b96baec9941499fbe6b6ffd8626a9f9


TRACE Sport Stars,P2p://starvod.xyz:19806/858296c9fd444f06b7bf8d8b5ad390fd
博斯高球,P2p://starvod.xyz:19806/142cd249dc354afd98a03377418ee453
博斯高球二台,P2p://starvod.xyz:19806/c252c26040f54a3eab622ca66ce1292c
博斯網球台,P2p://starvod.xyz:19806/ead4e147b5504b68bf5cf48877bedaef
博斯魅力網,P2p://starvod.xyz:19806/849f392784d4416195ae08039dc1a5b0
博斯無限台,P2p://starvod.xyz:19806/c75175afd5fa4afbad700cfe591b5961
博斯無限二台,P2p://starvod.xyz:19806/da6ba340d8b14151ac8e620ca6da3994
博斯運動,P2p://starvod.xyz:19806/3cb623a64e474b57b96b648058535c56
DAZN 2,P2p://starvod.xyz:19806/fcfd76934d754c14af4873a25b8aa541
智林體育台,P2p://starvod.xyz:19806/6392bb0b5be14a03b99ee0dbda03c55f
博斯運動二台,P2p://starvod.xyz:19806/d3854680883846a7855c00b159234692

BBC Earth,P2p://starvod.xyz:19806/f9c04fe3035b47cb9111ab5d2098a35e
Discovery Asia,P2p://starvod.xyz:19806/c77ed0b804fc4f7ebea3792649eda939
Discovery科學頻道,P2p://starvod.xyz:19806/2698afe057064f3da9bff5c5d35d591e
DMAX,P2p://starvod.xyz:19806/a85f8528292a48aa96f73ef49acc139c
EVE,P2p://starvod.xyz:19806/00b9b792e2c140b389f1385400f6d5fc
歷史頻道,P2p://starvod.xyz:19806/98f376b528514f35b917a96b97863040
罪案偵緝頻道,P2p://starvod.xyz:19806/8452b92159ff4796ae7fbfebf9739782
EYE TV戲劇台,P2p://starvod.xyz:19806/23005fa36e4f4bc2834abf172daf0121


緯來日本,P2p://starvod.xyz:19806/7ef9368b80ec4d019e05b54bae58d701


TechStorm,P2p://starvod.xyz:19806/8280e43e03a44e7db6a1bfe1e8aa87d7
TVBS,P2p://starvod.xyz:19806/7f5153fe32e34c00b9597950419c56ac
中天新聞台(備),P2p://starvod.xyz:19806/c30dc54a6f874c99bd67f9ca7935c63f
東風衛視,P2p://starvod.xyz:19806/c2269a995dbc4e2eb643c14aaf4c2014
中天新聞台,P2p://starvod.xyz:19806/dcde303976b6413dbfbfc63da5d3439d
