台湾频道,#genre# 
Warner TV,http://kele666.serv00.net/Smart.php?id=WarnerTV
HBO HD,http://kele666.serv00.net/Smart.php?id=Hbo
HBO Signature,http://kele666.serv00.net/Smart.php?id=Hbosignature
HBO Hits,http://kele666.serv00.net/Smart.php?id=Hbohitshd
SCM,http://kele666.serv00.net/Smart.php?id=Weishimovie
Dreamworks,http://kele666.serv00.net/Smart.php?id=Dreamworks
Thrill,http://kele666.serv00.net/Smart.php?id=Thrill
Hits Movie,http://kele666.serv00.net/Smart.php?id=Hitsmovie
One,http://kele666.serv00.net/Smart.php?id=One
tvN Movie,http://kele666.serv00.net/Smart.php?id=Tvnmovie
Celestial Classic,http://kele666.serv00.net/Smart.php?id=Celestial2
Celestial Movies HD,http://kele666.serv00.net/Smart.php?id=Celestialindo
Axn HD,http://kele666.serv00.net/Smart.php?id=Axn
Paramount Network,http://kele666.serv00.net/Smart.php?id=Paramountnetwork
Astrol Kplus,http://kele666.serv00.net/Smart.php?id=Kplus
Rock Actions,http://kele666.serv00.net/Smart.php?id=Rockaction
Rock Entertainment,http://kele666.serv00.net/Smart.php?id=Rockentertain

体育频道,#genre# 
Astro Premier League 1,http://kele666.serv00.net/Smart.php?id=go_assp1
Astro EPL 1 backup,http://kele666.serv00.net/Smart.php?id=go_assp1x
Astro Premier League 2,http://kele666.serv00.net/Smart.php?id=go_assp2
Astro Grandstand,http://kele666.serv00.net/Smart.php?id=go_assp3
Astro Football,http://kele666.serv00.net/Smart.php?id=go_assp4
Astro Sports Plus,http://kele666.serv00.net/Smart.php?id=go_sportsplus
Astro Badminton 1,http://kele666.serv00.net/Smart.php?id=go_badminton1
Astro Badminton 2,http://kele666.serv00.net/Smart.php?id=go_badminton2
Astro W-Sports,http://kele666.serv00.net/Smart.php?id=go_assp5
Supersports 1,http://kele666.serv00.net/Smart.php?id=Assp1
Supersports 2,http://kele666.serv00.net/Smart.php?id=Assp2
Supersports 3,http://kele666.serv00.net/Smart.php?id=Assp3
Supersports 4,http://kele666.serv00.net/Smart.php?id=Assp4
WWE,http://kele666.serv00.net/Smart.php?id=Wwe
Fight Sports,http://kele666.serv00.net/Smart.php?id=Fs
NBA TV,http://kele666.serv00.net/Smart.php?id=Nba
Astro Cricket,http://kele666.serv00.net/Smart.php?id=Acricket
Astro Golf,http://kele666.serv00.net/Smart.php?id=Agolf
Tnt Sports 1,http://kele666.serv00.net/Smart.php?id=6fac0aaead
TNT Sports 2,http://kele666.serv00.net/Smart.php?id=d9a76a79cc
TNT Sports 3,http://kele666.serv00.net/Smart.php?id=5fea4d73db
TNT Sports 4,http://kele666.serv00.net/Smart.php?id=tntsport4
Sony Ten 1,http://kele666.serv00.net/Smart.php?id=ten1_raj
Sony Ten 2,http://kele666.serv00.net/Smart.php?id=ten2_raj
Sony Ten 3,http://kele666.serv00.net/Smart.php?id=ten3_raj
SPOTV 1 HD,http://kele666.serv00.net/Smart.php?id=go_spotv
SPO TV 2,http://kele666.serv00.net/Smart.php?id=go_spotv2
Skysports F1,http://kele666.serv00.net/Smart.php?id=tiankongf1
Skysports Cricket,http://kele666.serv00.net/Smart.php?id=tiankongcricket
Skysports EPL,http://kele666.serv00.net/Smart.php?id=tiankongepl
Skysports Main Event,http://kele666.serv00.net/Smart.php?id=tiankongmain
Skysports News,http://kele666.serv00.net/Smart.php?id=tiankongnews
Skysports Mix,http://kele666.serv00.net/Smart.php?id=tiankongmix
爱尔达体育2台,http://kele666.serv00.net/Smart.php?id=eltasport2_twn
爱尔达体育3台,http://kele666.serv00.net/Smart.php?id=eltasport3_twn
Rugby Pass TV,http://kele666.serv00.net/Smart.php?id=Rugbypasstv
RTM Sports HD,http://kele666.serv00.net/Smart.php?id=Rtmsport
Arena,http://kele666.serv00.net/Smart.php?id=Arena
Arena 2,http://kele666.serv00.net/Smart.php?id=Arena2
BolaArena 1,http://kele666.serv00.net/Smart.php?id=Bolaarena1
BolaArena 2,http://kele666.serv00.net/Smart.php?id=Bolaarena2
Astro Beinsports 1,http://kele666.serv00.net/Smart.php?id=Astrobein1
Astro Beinsports 2,http://kele666.serv00.net/Smart.php?id=Astrobein2
Astro Beinsports 3,http://kele666.serv00.net/Smart.php?id=Astrobein3

记录频道,#genre# 
Natgeo_HD,http://kele666.serv00.net/Smart.php?id=natgeohd_twn
NatGeo_Wild HD,http://kele666.serv00.net/Smart.php?id=natgeowild_twn
Animal_Planet,http://kele666.serv00.net/Smart.php?id=animalplanet_twn
Discovery Asia,http://kele666.serv00.net/Smart.php?id=discoverytwn_twn
CI,http://kele666.serv00.net/Smart.php?id=ci_twn
Discovery HD,http://kele666.serv00.net/Smart.php?id=discoveryhd_twn
NatGeo HD,http://kele666.serv00.net/Smart.php?id=Natgeo
Fashion TV,http://kele666.serv00.net/Smart.php?id=fashiontv_twn
History,http://kele666.serv00.net/Smart.php?id=History
BBC Earth HD,http://kele666.serv00.net/Smart.php?id=bbcearth_twn
BBC Earth Lifestyle,http://kele666.serv00.net/Smart.php?id=bbclifestyle_twn
NatGeo Wild HD,http://kele666.serv00.net/Smart.php?id=Natgeowild
Animal Planet (Eng),http://kele666.serv00.net/Smart.php?id=AnimalPlanet
TLC,http://kele666.serv00.net/Smart.php?id=Tlc
Foodnetwork Hd,http://kele666.serv00.net/Smart.php?id=Foodnetwork
HGTV,http://kele666.serv00.net/Smart.php?id=HGTV

新闻频道,#genre# 
Skynews,http://kele666.serv00.net/Smart.php?id=skynews_twn
ABC News,http://kele666.serv00.net/Smart.php?id=abcnews_glo
CBS HD,http://kele666.serv00.net/Smart.php?id=cbshd_glo
CBSN HD,http://kele666.serv00.net/Smart.php?id=cbsn_glo
France 24,http://kele666.serv00.net/Smart.php?id=france24_twn
DW (Deutsch),http://kele666.serv00.net/Smart.php?id=dw_twn
NHK World,http://kele666.serv00.net/Smart.php?id=nhkworld_japan
Fox News,http://kele666.serv00.net/Smart.php?id=foxnews_twn
CNN International,http://kele666.serv00.net/Smart.php?id=Cnn
CNN backup,http://kele666.serv00.net/Smart.php?id=cnn_twn
CNBC,http://kele666.serv00.net/Smart.php?id=cnbc_twn
CNA,http://kele666.serv00.net/Smart.php?id=cna
BBC World News,http://kele666.serv00.net/Smart.php?id=bbcnews_twn
BBC World News,http://kele666.serv00.net/Smart.php?id=Bbcnews
Bloomberg News,http://kele666.serv00.net/Smart.php?id=bloomberg_twn
Al-Jazeera,http://kele666.serv00.net/Smart.php?id=aljazeera_twn

儿童频道,#genre# 
Baby TV Eng,http://kele666.serv00.net/Smart.php?id=Babytv
CBeebies,http://kele666.serv00.net/Smart.php?id=Cbeebies
Kids TV,http://kele666.serv00.net/Smart.php?id=KidsTV
Momo TV,http://kele666.serv00.net/Smart.php?id=momo1_twn
Baby TV,http://kele666.serv00.net/Smart.php?id=babytv_twn
MiaoMi,http://kele666.serv00.net/Smart.php?id=MiaoMi
Cartoon Network,http://kele666.serv00.net/Smart.php?id=Cn
Nickelodeon,http://kele666.serv00.net/Smart.php?id=Nickelodeon
Nick Jr,http://kele666.serv00.net/Smart.php?id=Nickjr

