Js=smart
Decoder=2

台灣,#genre#
HBO_HD,http://?id=hbohd_twn
HBO_HITS,http://?id=hbohits_twn
Hollywood Movies,http://?id=hollywoodmovies_twn
CCTV-6,http://?id=cctv6
CINEMAX,http://?id=cinemax_twn
Cinemax,http://?id=Cinemax
AXN Taiwan,http://?id=axn_twn
大愛2台,http://?id=catchplay_twn
東森電影 ETTV Movie,http://?id=ettvmovie
東森洋片 ETTV Western,http://?id=ettvwestern
龍華洋片 Lunghua Western,http://?id=lunghuawestern_twn
龍詳時代,http://?id=lungxiangtime_twn
Animax,http://?id=Animax
Movies Now HD,http://?id=moviesnow_raj
Star Movies HD,http://?id=starmovies_raj
衛視中文台 Star Movies Chinese,http://?id=weishichinese_twn
HBO Family,http://?id=Hbofamily
HBO Hits HD,http://?id=Hbohits
HBO HD,http://?id=Hbo
衛視電影台,http://?id=weishimovie_twn
HBO Signature,http://?id=Hbosignature
Hits,http://?id=Hits
Warner TV,http://?id=WarnerTV
美亞電影,http://?id=meiyamovie_twn
星衛電影,http://?id=xingwei_movie
SCM,http://?id=Weishimovie
Thrill,http://?id=Thrill
One,http://?id=One_mega
Hits Movie,http://?id=Hitsmovie
tvN Movie,http://?id=Tvnmovie
Celestial Classic,http://?id=Celestial2
Sony Pix HD,http://?id=sonypix_mega
Celestial Movies HD,http://?id=Celestialindo
Axn HD,http://?id=Axn
Paramount Network,http://?id=Paramountnetwork
Astrol Kplus,http://?id=Kplus
Rock Actions,http://?id=Rockaction
Rock Entertainment,http://?id=Rockentertain

新聞頻道,#genre#
Skynews,http://?id=skynews_antik
ABC News,http://?id=abcnews_glo
東森財經新聞 ETTV Business,http://?id=ettvcaijing_twn
CBS HD,http://?id=cbshd_glo
CBSN HD,http://?id=cbsn_glo
France 24,http://?id=france24_twn
DW (Deutsch),http://?id=dw_twn
NHK World,http://?id=nhkworld_japan
Fox News,http://?id=foxnews_twn
CGTN,http://?id=CGTN
CNN International,http://?id=Cnn
CNN backup,http://?id=cnn_twn
CNBC,http://?id=cnbc_twn
CNA,http://?id=cna
BBC World News,http://?id=bbcnews_twn
